Archer,Round,Experience,Bowstyle,EventName,EventType,Date,Score,Hits,Golds,Xs,Handicap,Classification,HandicapAtScore,HandicapAllowance,HandicapAdjustedScore
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2015-01-15,585,,,,10,A,7,851,1436
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2015-01-13,582,,,,11,A,7,851,1433
Patrick Huston,WA 720 70m,Experienced,Recurve,manchester,Practice Session,2015-01-09,670,,,,12,1st,14,777,1447
Patrick Huston,WA 720 70m,Experienced,Recurve,manchester,Practice Session,2015-01-07,645,,,,19,1st,15,781,1426
Patrick Huston,WA 720 70m,Experienced,Recurve,manchester,Practice Session,2015-01-06,631,,,,22,1st,15,781,1412
Patrick Huston,WA 720 70m,Experienced,Recurve,farm,Practice Session,2014-12-27,652,,,,17,1st,16,785,1437
Patrick Huston,Double Portsmouth,Experienced,Recurve,NICS,Record Status Competition,2014-12-20,1196,,,,7,A,,,
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,sutherland,Practice Session,2014-12-18,328,,,,16,1st,,,
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-12-17,645,,,,19,1st,16,785,1430
Patrick Huston,WA 720 70m,Experienced,Recurve,sutherland,Practice Session,2014-12-16,657,,,,16,1st,16,785,1442
Patrick Huston,WA 18m,Experienced,Recurve,Berlin Open,Record Status Competition,2014-12-14,586,,,,9,A,7,851,1437
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-12-10,583,,,,11,A,7,851,1434
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-12-09,581,,,,12,A,7,851,1432
Patrick Huston,WA 18m,Experienced,Recurve,National Indoor,Record Status Competition,2014-12-07,583,,,,11,A,7,851,1434
Patrick Huston,WA 18m,Experienced,Recurve,Back2Back,Competition (Non Record Status),2014-12-06,578,,,,13,A,7,851,1429
Patrick Huston,WA 18m,Experienced,Recurve,Back2Back,Competition (Non Record Status),2014-12-06,572,,,,16,B,7,851,1423
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-12-02,579,,,,13,A,7,851,1430
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-11-24,643,,,,19,1st,,785,1428
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-11-19,652,,,,17,1st,,785,1437
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-11-18,642,,,,20,1st,,785,1427
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,sutherland,Practice Session,2014-11-12,316,,,,22,1st,,,
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,sutherland,Practice Session,2014-11-10,325,,,,18,1st,,,
Patrick Huston,WA 18m,Experienced,Recurve,marrakech,Record Status Competition,2014-11-07,567,,,,19,B,7,851,1418
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-11-06,581,,,,12,A,7,851,1432
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-11-06,575,,,,15,B,7,851,1426
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-11-05,573,,,,16,B,7,851,1424
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-11-05,568,,,,18,B,7,851,1419
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-11-04,573,,,,16,B,7,851,1424
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-11-04,577,,,,14,A,7,851,1428
Patrick Huston,Portsmouth,Experienced,Recurve,aim4sport,Record Status Competition,2014-11-02,589,,,,16,B,7,842,1431
Patrick Huston,Portsmouth,Experienced,Recurve,aim4sport,Record Status Competition,2014-11-02,588,,,,17,B,7,842,1430
Patrick Huston,Vegas,Experienced,Recurve,aim4sport,Record Status Competition,2014-11-01,569,,,,18,B,7,851,1420
Patrick Huston,Vegas,Experienced,Recurve,aim4sport,Record Status Competition,2014-11-01,564,,,,20,B,7,851,1415
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-30,575,,,,15,B,7,851,1426
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-30,569,,,,18,B,7,851,1420
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-29,568,,,,18,B,7,851,1419
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-29,564,,,,20,B,7,851,1415
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-28,568,,,,18,B,7,851,1419
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-28,577,,,,14,A,7,851,1428
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-28,579,,,,13,A,7,851,1430
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2014-10-28,608,,,,26,1st,,785,1393
Patrick Huston,WA 18m,Experienced,Recurve,Pod,Practice Session,2014-10-27,577,,,,14,A,7,851,1428
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2014-10-22,651,,,,17,1st,,785,1436
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2014-10-22,659,,,,15,1st,,785,1444
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2014-10-21,622,,,,24,1st,,785,1407
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-20,579,,,,13,A,7,851,1430
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-20,577,,,,14,A,7,851,1428
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-18,577,,,,14,A,7,851,1428
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-10-18,573,,,,16,B,7,851,1424
Patrick Huston,WA 18m,Experienced,Recurve,Pod,Practice Session,2014-10-17,570,,,,17,B,7,851,1421
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2014-10-17,627,,,,23,1st,,785,1412
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-10-16,630,,,,22,1st,,785,1415
Patrick Huston,WA 18m,Experienced,Recurve,audco,Practice Session,2014-10-15,543,,,,27,C,7,851,1394
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,pod,Practice Session,2014-10-14,326,,,,17,1st,,,
Patrick Huston,Portsmouth,Experienced,Recurve,Audco,Practice Session,2014-10-14,591,,,,15,B,7,842,1433
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-10-14,647,,,,18,1st,,785,1432
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2014-10-13,640,,,,20,1st,,785,1425
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-10-09,622,,,,24,1st,,785,1407
Patrick Huston,Portsmouth,Experienced,Recurve,Audco,Practice Session,2014-10-07,583,,,,20,B,7,842,1425
Patrick Huston,WA 1440 Gents,Experienced,Recurve,N.S. Exmouth,Record Status Competition,2014-08-17,1167,,,,30,BM,,129,1296
Patrick Huston,WA 720 70m,Experienced,Recurve,N.S. Exmouth,Record Status Competition,2014-08-16,614,,,,25,1st,,785,1399
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-08-15,620,,,,24,1st,,785,1405
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-08-15,600,,,,28,1st,,785,1385
Patrick Huston,WA 1440 Gents,Experienced,Recurve,British Champs,Record Status Competition,2014-08-09,1225,,,,26,MB*,,129,1354
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Pod,Practice Session,2014-08-07,1289,,,,19,GMB*,,129,1418
